$end ( ) * + - . / ; < << <= <> = > >= CONSTANTE ENQUANTO IMPRIMIR INTEIRO LER REAL SE SENAO VARIAVEL [ ] { } #AT #C #CMD #DV #EXPA #EXPR #ID #IDC #IF #IMP #LE #LI #LIC #OP #OPR #S #SENAOS #T #WH
e47 X r41 X X X r41 X X X X X X X X X X r41 X X X X X X X r41 X X X X X X X X X X X X X X X X X X X X X X X
e48 X r42 X X X r42 X X X X X X X X X X r42 X X X X X X X r42 X X X X X X X X X X X X X X X X X X X X X X X
e49 X X X X X X X X X X X X X X X X r20 X X X X X X X r20 X X X X X X X X X X X X X X X X X X X X X X X
e50 X X X X X X X X X X X X X X X X r21 X X X X X X X r21 X X X X X X X X X X X X X X X X X X X X X X X
e51 X X X X X X X X X X X X X X X X r22 X X X X X X X r22 X X X X X X X X X X X X X X X X X X X X X X X
e52 X X X X X X X X X X X X X X X X r23 X X X X X X X r23 X X X X X X X X X X X X X X X X X X X X X X X
e53 X X e63 e51 e49 e50 X e52 X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X X e42 X X X X X
e54 X X r19 r19 r19 r19 r19 r19 X r19 X r19 r19 r19 r19 r19 X X X X X X X X X X X r19 X X X X X X X X X X X X X X X X X X X X
e55 X X X X X X X X X X X X X X X X X e16 e18 X e17 X e15 X e19 X X X X e9 e64 X X X X e14 X e10 e13 e12 X X X X X X X e11
e56 X X X X X X X X X X X X X X X X X r34 r34 X r34 X r34 X r34 X r34 X r34 X X X X X X X X X X X X X X X X X X X
e57 X X X X X X X X X X X X X X X X e30 X X X X X X X e19 X X X X X X X X X X e31 e35 X X X X e65 X X X X X X
e58 X X X X X X X X X X X X X X X X X r7 r7 r7 r7 r7 r7 X r7 X r7 X X X X X X X X X X X X X X X X X X X X X
e59 X X X X X X X X X X X X X X X X X r15 r15 X r15 X r15 X r15 X r15 X r15 X X X X X X X X X X X X X X X X X X X
e60 X X X X X X X X X X X X X X X X X X X X X X X X X X X X e66 X X X X X X X X X X X X X X X X X X X
e61 X X X e51 e49 e50 X e52 X X X X X X X X X X X X X X X X X X X r36 X X X X X X X X X X X X X X e42 X X X X X
e62 X X r16 r16 r16 r16 r16 r16 X r16 X r16 r16 r16 r16 r16 X X X X X X X X X X X r16 X X X X X X X X X X X X X X X X X X X X
e63 X X r17 r17 r17 r17 r17 r17 X r17 X r17 r17 r17 r17 r17 X X X X X X X X X X X r17 X X X X X X X X X X X X X X X X X X X X
e64 X X X X X X X X X X X X X X X X X X X X X X X X X X X X e67 X X X X X X X X X X X X X X X X X X X
e65 X X X X X X X X X X X X X X X X X r35 r35 X r35 X r35 X r35 X r35 X r35 X X X X X X X X X X X X X X X X X X X
e66 X X X X X X X X X X X X X X X X X r26 r26 X r26 X r26 e69 r26 X r26 X r26 X X X X X X X X X X X X X X X X e68 X X
e67 X X X X X X X X X X X X X X X X X r31 r31 X r31 X r31 X r31 X r31 X r31 X X X X X X X X X X X X X X X X X X X
e68 X X X X X X X X X X X X X X X X X r27 r27 X r27 X r27 X r27 X r27 X r27 X X X X X X X X X X X X X X X X X X X
e69 X X X X X X X X X X X X X X X X X X X X X X e70 X X X X e71 X X X X X X X X X X X X X X X X X X X X
e70 X e27 X X X e29 X X X X X X X X X X e30 X X X X X X X e19 X X X X X X X X e26 e72 e31 e28 X X X X X X X X X X X
e71 X X X X X X X X X X X X X X X X X e16 e18 X e17 X e15 X e19 X X X X e9 e73 X X X X e14 X e10 e13 e12 X X X X X X X e11
e72 X X X X X X X X X X X X X X X X X X X X X X X X X X X e74 X X X X X X X X X X X X X X X X X X X X
e73 X X X X X X X X X X X X X X X X X X X X X X X X X X X X e75 X X X X X X X X X X X X X X X X X X X
e74 X X X X X X X X X X X X X X X X X e16 e18 X e17 X e15 X e19 X X X X e9 e76 X X X X e14 X e10 e13 e12 X X X X X X X e11
e75 X X X X X X X X X X X X X X X X X r30 r30 X r30 X r30 X r30 X r30 X r30 X X X X X X X X X X X X X X X X X X X
e76 X X X X X X X X X X X X X X X X X X X X X X X X X X X X e77 X X X X X X X X X X X X X X X X X X X
e77 X X X X X X X X X X X X X X X X X r28 r28 X r28 X r28 e69 r28 X r28 X r28 X X X X X X X X X X X X X X X X e78 X X
e78 X X X X X X X X X X X X X X X X X r29 r29 X r29 X r29 X r29 X r29 X r29 X X X X X X X X X X X X X X X X X X X
